date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:45	152796/152796	---MCZ	200	added ('OK')	font/ttf	etag:W/%22254dc-574d847ec9c00%22	https://preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont3295.ttf	(from https://preview.colorlib.com/theme/hospice/css/font-awesome.min.css)
14:06:46	391622/391622	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f9c6-574d847dd59c0%22	https://preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont.svg?v=4.5.0	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/fonts/fontawesome-webfont3295.svg	(from https://preview.colorlib.com/theme/hospice/css/font-awesome.min.css)
14:06:46	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2012:06:44%20GMT	https://preview.colorlib.com/theme/hospice/vendors/owl-carousel/owl.video.play.png	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/owl-carousel/owl.video.play.png	(from https://preview.colorlib.com/theme/hospice/vendors/owl-carousel/owl.carousel.min.css)
14:06:46	55620/55620	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d944-574d85e55ea00%22	https://preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free.ttf?w118d	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/linericon/fonts/Linearicons-Free54e9.ttf	(from https://preview.colorlib.com/theme/hospice/vendors/linericon/style.css)
14:06:46	2366/2366	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2012:06:45%20GMT	https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_444444_256x240.png	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_444444_256x240.png	(from https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/jquery-ui.css)
14:06:47	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2012:06:45%20GMT	https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_555555_256x240.png	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_555555_256x240.png	(from https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/jquery-ui.css)
14:06:47	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2012:06:45%20GMT	https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_ffffff_256x240.png	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_ffffff_256x240.png	(from https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/jquery-ui.css)
14:06:47	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2012:06:46%20GMT	https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_777620_256x240.png	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_777620_256x240.png	(from https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/jquery-ui.css)
14:06:48	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2012:06:46%20GMT	https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_cc0000_256x240.png	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_cc0000_256x240.png	(from https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/jquery-ui.css)
14:06:48	2260/2260	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2012:06:46%20GMT	https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_777777_256x240.png	C:/Users/Admin/Documents/Client/Mintirho/preview.colorlib.com/theme/hospice/vendors/jquery-ui/images/ui-icons_777777_256x240.png	(from https://preview.colorlib.com/theme/hospice/vendors/jquery-ui/jquery-ui.css)
